"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";4867;"haar";1;0;6
"2";2;"LOC";4867;"haar";1;12,0208152801715;6
"3";3;"LOC";4867;"haar";1;0;6
"4";4;"LOC";4867;"haar";1;0;6
"5";5;"LOC";4867;"haar";1;0;6
"6";6;"LOC";4867;"haar";1;1924,74465838978;6
"7";7;"LOC";4867;"haar";1;0,707106781186667;6
"8";8;"LOC";4867;"haar";1;-83,438600180014;6
"9";9;"LOC";4867;"haar";1;165,462986797653;6
"10";10;"LOC";4867;"haar";1;0;6
"11";11;"LOC";4867;"haar";1;8,48528137423818;6
"12";12;"LOC";4867;"haar";1;603,162084352125;6
"13";13;"LOC";4867;"haar";1;0;6
"14";14;"LOC";4867;"haar";1;4,24264068712;6
"15";15;"LOC";4867;"haar";1;49,4974746830576;6
"16";16;"LOC";4867;"haar";1;2,82842712474667;6
"17";17;"LOC";4867;"haar";1;184,554869889689;6
"18";18;"LOC";4867;"haar";1;787,009847460627;6
"19";19;"LOC";4867;"haar";1;38,1837661840727;6
"20";20;"LOC";4867;"haar";1;599,626550446192;6
"21";21;"LOC";4867;"haar";1;0;6
"22";22;"LOC";4867;"haar";1;0,707106781186667;6
"23";23;"LOC";4867;"haar";1;0;6
"24";24;"LOC";4867;"haar";1;0;6
"25";25;"LOC";4867;"haar";1;55,1543289325509;6
"26";26;"LOC";4867;"haar";1;0;6
"27";27;"LOC";4867;"haar";1;-0,707106781186667;6
"28";28;"LOC";4867;"haar";1;257,386868351905;6
"29";29;"LOC";4867;"haar";1;0;6
"30";30;"LOC";4867;"haar";1;0;6
"31";31;"LOC";4867;"haar";1;2,12132034356;6
"32";32;"LOC";4867;"haar";1;0;6
"33";33;"LOC";4867;"haar";1;0;6
"34";34;"LOC";4867;"haar";1;0;6
"35";35;"LOC";4867;"haar";1;0;6
"36";36;"LOC";4867;"haar";1;0;6
"37";37;"LOC";4867;"haar";1;0;6
"38";38;"LOC";4867;"haar";1;0,707106781186667;6
"39";39;"LOC";4867;"haar";1;0;6
"40";40;"LOC";4867;"haar";1;0;6
"41";41;"LOC";4867;"haar";1;0;6
"42";42;"LOC";4867;"haar";1;0;6
"43";43;"LOC";4867;"haar";1;0;6
"44";44;"LOC";4867;"haar";1;0;6
"45";45;"LOC";4867;"haar";1;0;6
"46";46;"LOC";4867;"haar";1;0;6
"47";47;"LOC";4867;"haar";1;0;6
"48";48;"LOC";4867;"haar";1;0;6
"49";49;"LOC";4867;"haar";1;0;6
"50";1;"LOC";4867;"haar";2;8,5;5
"51";2;"LOC";4867;"haar";2;0;5
"52";3;"LOC";4867;"haar";2;1120,5;5
"53";4;"LOC";4867;"haar";2;66;5
"54";5;"LOC";4867;"haar";2;30,9999999999982;5
"55";6;"LOC";4867;"haar";2;-336,499999999996;5
"56";7;"LOC";4867;"haar";2;184;5
"57";8;"LOC";4867;"haar";2;179,5;5
"58";9;"LOC";4867;"haar";2;825,499999999998;5
"59";10;"LOC";4867;"haar";2;424;5
"60";11;"LOC";4867;"haar";2;0,5;5
"61";12;"LOC";4867;"haar";2;39,0000000000036;5
"62";13;"LOC";4867;"haar";2;0,5;5
"63";14;"LOC";4867;"haar";2;301;5
"64";15;"LOC";4867;"haar";2;1,50000000000364;5
"65";16;"LOC";4867;"haar";2;0;5
"66";17;"LOC";4867;"haar";2;0;5
"67";18;"LOC";4867;"haar";2;0;5
"68";19;"LOC";4867;"haar";2;-8,5;5
"69";20;"LOC";4867;"haar";2;0;5
"70";21;"LOC";4867;"haar";2;0;5
"71";22;"LOC";4867;"haar";2;0;5
"72";23;"LOC";4867;"haar";2;0;5
"73";24;"LOC";4867;"haar";2;0;5
"74";1;"LOC";4867;"haar";3;6,01040764008576;4
"75";2;"LOC";4867;"haar";3;630,385695427805;4
"76";3;"LOC";4867;"haar";3;1164,95842200483;4
"77";4;"LOC";4867;"haar";3;310,773430331486;4
"78";5;"LOC";4867;"haar";3;1536,89658890896;4
"79";6;"LOC";4867;"haar";3;27,9307178568743;4
"80";7;"LOC";4867;"haar";3;472,70088322321;4
"81";8;"LOC";4867;"haar";3;3,18198051533545;4
"82";9;"LOC";4867;"haar";3;0;4
"83";10;"LOC";4867;"haar";3;-6,01040764008576;4
"84";11;"LOC";4867;"haar";3;0;4
"85";12;"LOC";4867;"haar";3;0;4
"86";1;"LOC";4867;"haar";4;4292,5;3
"87";2;"LOC";4867;"haar";4;885,000000000004;3
"88";3;"LOC";4867;"haar";4;1532;3
"89";4;"LOC";4867;"haar";4;641;3
"90";5;"LOC";4867;"haar";4;-11,75;3
"91";6;"LOC";4867;"haar";4;0;3
"92";1;"LOC";4867;"haar";5;5924,49416617149;2
"93";2;"LOC";4867;"haar";5;2203,34473017728;2
"94";3;"LOC";4867;"haar";5;-14,3189123190314;2
