"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";408980;"haar";1;64512,1800747735;6
"2";2;"LOC";408980;"haar";1;64512,1800747735;6
"3";3;"LOC";408980;"haar";1;64514,301395117;6
"4";4;"LOC";408980;"haar";1;64516,4227154606;6
"5";5;"LOC";408980;"haar";1;68340,4561881174;6
"6";6;"LOC";408980;"haar";1;68340,4561881174;6
"7";7;"LOC";408980;"haar";1;73947,8129629268;6
"8";8;"LOC";408980;"haar";1;73947,8129629268;6
"9";9;"LOC";408980;"haar";1;80846,3467201827;6
"10";10;"LOC";408980;"haar";1;145581,26543103;6
"11";11;"LOC";408980;"haar";1;208836,916755635;6
"12";12;"LOC";408980;"haar";1;214623,878652866;6
"13";13;"LOC";408980;"haar";1;214638,020788489;6
"14";14;"LOC";408980;"haar";1;214649,334496988;6
"15";15;"LOC";408980;"haar";1;217168,755958356;6
"16";16;"LOC";408980;"haar";1;219694,541380754;6
"17";17;"LOC";408980;"haar";1;231615,654604778;6
"18";18;"LOC";408980;"haar";1;231635,453594652;6
"19";19;"LOC";408980;"haar";1;231529,387577474;6
"20";20;"LOC";408980;"haar";1;231528,680470692;6
"21";21;"LOC";408980;"haar";1;248205,793904977;6
"22";22;"LOC";408980;"haar";1;259692,743565353;6
"23";23;"LOC";408980;"haar";1;264300,251351564;6
"24";24;"LOC";408980;"haar";1;272076,304624273;6
"25";25;"LOC";408980;"haar";1;273812,251772086;6
"26";26;"LOC";408980;"haar";1;276731,895671605;6
"27";27;"LOC";408980;"haar";1;279346,776548433;6
"28";28;"LOC";408980;"haar";1;314806,060304594;6
"29";29;"LOC";408980;"haar";1;308596,955658995;6
"30";30;"LOC";408980;"haar";1;308633,725211617;6
"31";31;"LOC";408980;"haar";1;308633,725211617;6
"32";32;"LOC";408980;"haar";1;308633,725211617;6
"33";33;"LOC";408980;"haar";1;308997,178097147;6
"34";34;"LOC";408980;"haar";1;308592,713018308;6
"35";35;"LOC";408980;"haar";1;308188,24793947;6
"36";36;"LOC";408980;"haar";1;315392,958932979;6
"37";37;"LOC";408980;"haar";1;314966,573543924;6
"38";38;"LOC";408980;"haar";1;312919,499412389;6
"39";39;"LOC";408980;"haar";1;311761,258504805;6
"40";40;"LOC";408980;"haar";1;312309,973367006;6
"41";41;"LOC";408980;"haar";1;310033,796638366;6
"42";42;"LOC";408980;"haar";1;310050,767201115;6
"43";43;"LOC";408980;"haar";1;310050,767201115;6
"44";44;"LOC";408980;"haar";1;310496,951580044;6
"45";45;"LOC";408980;"haar";1;310946,671492878;6
"46";46;"LOC";408980;"haar";1;310448,868318923;6
"47";47;"LOC";408980;"haar";1;309999,85551287;6
"48";48;"LOC";408980;"haar";1;310042,989026522;6
"49";1;"LOC";408980;"haar";2;91234;5
"50";2;"LOC";408980;"haar";2;91238,5;5
"51";3;"LOC";408980;"haar";2;96648;5
"52";4;"LOC";408980;"haar";2;104578;5
"53";5;"LOC";408980;"haar";2;160108,5;5
"54";6;"LOC";408980;"haar";2;299432;5
"55";7;"LOC";408980;"haar";2;303552;5
"56";8;"LOC";408980;"haar";2;308909;5
"57";9;"LOC";408980;"haar";2;327568;5
"58";10;"LOC";408980;"haar";2;327431,5;5
"59";11;"LOC";408980;"haar";2;359138,5;5
"60";12;"LOC";408980;"haar";2;379275,5;5
"61";13;"LOC";408980;"haar";2;389293,5;5
"62";14;"LOC";408980;"haar";2;420129,5;5
"63";15;"LOC";408980;"haar";2;436448;5
"64";16;"LOC";408980;"haar";2;436474;5
"65";17;"LOC";408980;"haar";2;436702;5
"66";18;"LOC";408980;"haar";2;440938,5;5
"67";19;"LOC";408980;"haar";2;443982,5;5
"68";20;"LOC";408980;"haar";2;441285;5
"69";21;"LOC";408980;"haar";2;438466;5
"70";22;"LOC";408980;"haar";2;438793,5;5
"71";23;"LOC";408980;"haar";2;439393;5
"72";24;"LOC";408980;"haar";2;438436,5;5
"73";1;"LOC";408980;"haar";3;129027,542130062;4
"74";2;"LOC";408980;"haar";3;142288,269151044;4
"75";3;"LOC";408980;"haar";3;324944,203779857;4
"76";4;"LOC";408980;"haar";3;433075,326312294;4
"77";5;"LOC";408980;"haar";3;463154,588123798;4
"78";6;"LOC";408980;"haar";3;522137,546723083;4
"79";7;"LOC";408980;"haar";3;572348,492148359;4
"80";8;"LOC";408980;"haar";3;617249,065646923;4
"81";9;"LOC";408980;"haar";3;620585,548993952;4
"82";10;"LOC";408980;"haar";3;625978,652414062;4
"83";11;"LOC";408980;"haar";3;620316,14131032;4
"84";12;"LOC";408980;"haar";3;620719,192175596;4
"85";1;"LOC";408980;"haar";4;191849,25;3
"86";2;"LOC";408980;"haar";4;536000,75;3
"87";3;"LOC";408980;"haar";4;696706,75;3
"88";4;"LOC";408980;"haar";4;841172,5;3
"89";5;"LOC";408980;"haar";4;881454;3
"90";6;"LOC";408980;"haar";4;877544,5;3
"91";1;"LOC";408980;"haar";5;514667,670686628;2
"92";2;"LOC";408980;"haar";5;1087444,84632108;2
"93";3;"LOC";408980;"haar";5;1243799,76744696;2
