"";"X";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"95";14;14;"LOC";3429;"haar";1;4867,72308168816;6
"96";15;15;"LOC";3429;"haar";1;8198,19602107682;6
"97";16;16;"LOC";3429;"haar";1;9099,75716708973;6
"98";17;17;"LOC";3429;"haar";1;14055,161489645;6
"99";18;18;"LOC";3429;"haar";1;7638,16745037708;6
"100";19;19;"LOC";3429;"haar";1;14740,3479606148;6
"101";20;20;"LOC";3429;"haar";1;25798,08380481;6
"102";21;21;"LOC";3429;"haar";1;58309,4393902051;6
"103";22;22;"LOC";3429;"haar";1;31530,5984798893;6
"104";23;23;"LOC";3429;"haar";1;8728,52610696678;6
"105";24;24;"LOC";3429;"haar";1;-7464,21918220527;6
"106";25;25;"LOC";3429;"haar";1;5336,53487761482;6
"107";26;26;"LOC";3429;"haar";1;-96719,4797442583;6
"108";27;27;"LOC";3429;"haar";1;5930,50457381154;6
"109";28;28;"LOC";3429;"haar";1;30045,6742393976;6
"110";29;29;"LOC";3429;"haar";1;-20161,7356519721;6
"111";30;30;"LOC";3429;"haar";1;-4516,29101143847;6
"112";31;31;"LOC";3429;"haar";1;8720,74793237366;6
"113";32;32;"LOC";3429;"haar";1;7314,31254459359;6
"114";33;33;"LOC";3429;"haar";1;36086,4874710743;6
"115";34;34;"LOC";3429;"haar";1;10578,3174465507;6
"116";35;35;"LOC";3429;"haar";1;1175,91857711319;6
"117";36;36;"LOC";3429;"haar";1;29265,7354597488;6
"118";37;37;"LOC";3429;"haar";1;-7548,36488916643;6
"119";38;38;"LOC";3429;"haar";1;7955,65839512984;6
"120";39;39;"LOC";3429;"haar";1;8712,26265099947;6
"121";40;40;"LOC";3429;"haar";1;7364,51712605788;6
"122";41;41;"LOC";3429;"haar";1;2716,70425331872;6
"123";42;42;"LOC";3429;"haar";1;9,1923881553812;6
"124";43;43;"LOC";3429;"haar";1;1593,81868479447;6
"125";44;44;"LOC";3429;"haar";1;345,775216000271;6
"126";45;45;"LOC";3429;"haar";1;0;6
"127";46;46;"LOC";3429;"haar";1;-11,3137084989576;6
"128";47;47;"LOC";3429;"haar";1;0;6
"129";48;48;"LOC";3429;"haar";1;0;6
"130";49;49;"LOC";3429;"haar";1;0;6
"131";50;50;"LOC";3429;"haar";1;0;6
"132";51;51;"LOC";3429;"haar";1;0;6
"133";52;1;"LOC";3429;"haar";2;-87343;5
"134";53;2;"LOC";3429;"haar";2;58426,5;5
"135";54;3;"LOC";3429;"haar";2;95494,9999999999;5
"136";55;4;"LOC";3429;"haar";2;11606,5;5
"137";56;5;"LOC";3429;"haar";2;116532;5
"138";57;6;"LOC";3429;"haar";2;1765249;5
"139";58;7;"LOC";3429;"haar";2;128636;5
"140";59;8;"LOC";3429;"haar";2;-43347;5
"141";60;9;"LOC";3429;"haar";2;39892;5
"142";61;10;"LOC";3429;"haar";2;65435;5
"143";62;11;"LOC";3429;"haar";2;39828,5000000002;5
"144";63;12;"LOC";3429;"haar";2;5346,49999999988;5
"145";64;13;"LOC";3429;"haar";2;-51110,5;5
"146";65;14;"LOC";3429;"haar";2;86078;5
"147";66;15;"LOC";3429;"haar";2;3025;5
"148";67;16;"LOC";3429;"haar";2;39187;5
"149";68;17;"LOC";3429;"haar";2;-5230,5;5
"150";69;18;"LOC";3429;"haar";2;-19677,5;5
"151";70;19;"LOC";3429;"haar";2;27066;5
"152";71;20;"LOC";3429;"haar";2;2287,5;5
"153";72;21;"LOC";3429;"haar";2;2118,5;5
"154";73;22;"LOC";3429;"haar";2;143,499999999767;5
"155";74;23;"LOC";3429;"haar";2;378;5
"156";75;24;"LOC";3429;"haar";2;0;5
"157";76;25;"LOC";3429;"haar";2;0;5
"158";77;1;"LOC";3429;"haar";3;223801,771119276;4
"159";78;2;"LOC";3429;"haar";3;119034,709098334;4
"160";79;3;"LOC";3429;"haar";3;-1346073,21740405;4
"161";80;4;"LOC";3429;"haar";3;45507,9782236039;4
"162";81;5;"LOC";3429;"haar";3;173265,556574655;4
"163";82;6;"LOC";3429;"haar";3;-112176,126874215;4
"164";83;7;"LOC";3429;"haar";3;47881,735688047;4
"165";84;8;"LOC";3429;"haar";3;263461,269155686;4
"166";85;9;"LOC";3429;"haar";3;105390,376648558;4
"167";86;10;"LOC";3429;"haar";3;10058,5939623788;4
"168";87;11;"LOC";3429;"haar";3;1727,81541982898;4
"169";88;12;"LOC";3429;"haar";3;173,948268172098;4
"170";89;1;"LOC";3429;"haar";4;374336,5;3
"171";90;2;"LOC";3429;"haar";4;-763518,5;3
"172";91;3;"LOC";3429;"haar";4;119263,75;3
"173";92;4;"LOC";3429;"haar";4;20019,75;3
"174";93;5;"LOC";3429;"haar";4;137568,25;3
"175";94;6;"LOC";3429;"haar";4;1778,74999999953;3
"176";95;1;"LOC";3429;"haar";5;1524666,11646817;2
"177";96;2;"LOC";3429;"haar";5;580600,074731415;2
"178";97;3;"LOC";3429;"haar";5;121015,315192438;2
"179";1;1;"LOC";346391;"haar";1;0;5
"180";2;2;"LOC";346391;"haar";1;0;5
"181";3;3;"LOC";346391;"haar";1;0;5
"182";4;4;"LOC";346391;"haar";1;14,142135623731;5
"183";5;5;"LOC";346391;"haar";1;0;5
"184";6;6;"LOC";346391;"haar";1;0;5
"185";7;7;"LOC";346391;"haar";1;0;5
"186";8;8;"LOC";346391;"haar";1;0;5
"187";9;9;"LOC";346391;"haar";1;0;5
"188";10;10;"LOC";346391;"haar";1;0,707106781186553;5
"189";11;11;"LOC";346391;"haar";1;1,41421356237311;5
"190";12;12;"LOC";346391;"haar";1;0;5
"191";13;13;"LOC";346391;"haar";1;0;5
"192";14;14;"LOC";346391;"haar";1;0;5
"193";15;15;"LOC";346391;"haar";1;0;5
"194";16;16;"LOC";346391;"haar";1;0;5
"195";17;17;"LOC";346391;"haar";1;0;5
"196";18;18;"LOC";346391;"haar";1;0;5
"197";19;19;"LOC";346391;"haar";1;0;5
"198";20;20;"LOC";346391;"haar";1;0;5
"199";21;21;"LOC";346391;"haar";1;0;5
"200";22;22;"LOC";346391;"haar";1;0;5
"201";23;23;"LOC";346391;"haar";1;0;5
"202";24;24;"LOC";346391;"haar";1;36,062445840514;5
"203";25;1;"LOC";346391;"haar";2;885;4
"204";26;2;"LOC";346391;"haar";2;15;4
"205";27;3;"LOC";346391;"haar";2;0;4
"206";28;4;"LOC";346391;"haar";2;0;4
"207";29;5;"LOC";346391;"haar";2;0,5;4
"208";30;6;"LOC";346391;"haar";2;1,00000000000023;4
"209";31;7;"LOC";346391;"haar";2;0;4
"210";32;8;"LOC";346391;"haar";2;0;4
"211";33;9;"LOC";346391;"haar";2;0;4
"212";34;10;"LOC";346391;"haar";2;0;4
"213";35;11;"LOC";346391;"haar";2;0;4
"214";36;12;"LOC";346391;"haar";2;25,5;4
"215";37;1;"LOC";346391;"haar";3;636,396103067893;3
"216";38;2;"LOC";346391;"haar";3;1,41421356237311;3
"217";39;3;"LOC";346391;"haar";3;3,18198051533977;3
"218";40;4;"LOC";346391;"haar";3;2,82842712474621;3
"219";41;5;"LOC";346391;"haar";3;0;3
"220";42;6;"LOC";346391;"haar";3;18,0312229202568;3
"221";43;1;"LOC";346391;"haar";4;490;2
"222";44;2;"LOC";346391;"haar";4;253,25;2
"223";45;3;"LOC";346391;"haar";4;12,75;2
"224";1;1;"LOC";4673;"haar";1;2229,50768108119;6
"225";2;2;"LOC";4673;"haar";1;-33275,0309090766;6
"226";3;3;"LOC";4673;"haar";1;879,640835796061;6
"227";4;4;"LOC";4673;"haar";1;0;6
"228";5;5;"LOC";4673;"haar";1;-1934,6441533264;6
"229";6;6;"LOC";4673;"haar";1;-244,658946290539;6
"230";7;7;"LOC";4673;"haar";1;3,53553390593152;6
"231";8;8;"LOC";4673;"haar";1;197,282791951046;6
"232";9;9;"LOC";4673;"haar";1;626,496608131274;6
"233";10;10;"LOC";4673;"haar";1;39,5979797464533;6
"234";11;11;"LOC";4673;"haar";1;-673,872762470768;6
"235";12;12;"LOC";4673;"haar";1;503,46002820482;6
"236";13;13;"LOC";4673;"haar";1;53,0330085890018;6
"237";14;14;"LOC";4673;"haar";1;536,694046920587;6
"238";15;15;"LOC";4673;"haar";1;4,94974746830121;6
"239";16;16;"LOC";4673;"haar";1;0;6
"240";17;17;"LOC";4673;"haar";1;0;6
"241";18;18;"LOC";4673;"haar";1;0;6
"242";19;19;"LOC";4673;"haar";1;0;6
"243";20;20;"LOC";4673;"haar";1;0;6
"244";21;21;"LOC";4673;"haar";1;0;6
"245";22;22;"LOC";4673;"haar";1;0;6
"246";23;23;"LOC";4673;"haar";1;17,6776695296721;6
"247";24;24;"LOC";4673;"haar";1;16,2634559672879;6
"248";25;25;"LOC";4673;"haar";1;0;6
"249";26;26;"LOC";4673;"haar";1;0;6
"250";27;27;"LOC";4673;"haar";1;0;6
"251";28;28;"LOC";4673;"haar";1;0;6
"252";29;29;"LOC";4673;"haar";1;0;6
"253";30;30;"LOC";4673;"haar";1;0;6
"254";31;31;"LOC";4673;"haar";1;0;6
"255";32;32;"LOC";4673;"haar";1;0;6
"256";33;33;"LOC";4673;"haar";1;0;6
"257";34;34;"LOC";4673;"haar";1;0;6
"258";35;35;"LOC";4673;"haar";1;0;6
"259";36;36;"LOC";4673;"haar";1;-21,9203102167812;6
"260";37;37;"LOC";4673;"haar";1;-442,648845022777;6
"261";38;38;"LOC";4673;"haar";1;0;6
"262";39;39;"LOC";4673;"haar";1;0;6
"263";40;40;"LOC";4673;"haar";1;0;6
"264";41;41;"LOC";4673;"haar";1;0;6
"265";42;1;"LOC";4673;"haar";2;-19953;5
"266";43;2;"LOC";4673;"haar";2;-1368;5
"267";44;3;"LOC";4673;"haar";2;-170,500000000015;5
"268";45;4;"LOC";4673;"haar";2;732,5;5
"269";46;5;"LOC";4673;"haar";2;-244,499999999985;5
"270";47;6;"LOC";4673;"haar";2;1421,50000000001;5
"271";48;7;"LOC";4673;"haar";2;562;5
"272";49;8;"LOC";4673;"haar";2;0;5
"273";50;9;"LOC";4673;"haar";2;0;5
"274";51;10;"LOC";4673;"haar";2;0;5
"275";52;11;"LOC";4673;"haar";2;12,5;5
"276";53;12;"LOC";4673;"haar";2;-255,5;5
"277";54;13;"LOC";4673;"haar";2;0;5
"278";55;14;"LOC";4673;"haar";2;0;5
"279";56;15;"LOC";4673;"haar";2;0;5
"280";57;16;"LOC";4673;"haar";2;0;5
"281";58;17;"LOC";4673;"haar";2;0;5
"282";59;18;"LOC";4673;"haar";2;-329,5;5
"283";60;19;"LOC";4673;"haar";2;0;5
"284";61;20;"LOC";4673;"haar";2;0;5
"285";62;1;"LOC";4673;"haar";3;-13237,7460505933;4
"286";63;2;"LOC";4673;"haar";3;799,030662740784;4
"287";64;3;"LOC";4673;"haar";3;-816,001225489279;4
"288";65;4;"LOC";4673;"haar";3;402,343758495146;4
"289";66;5;"LOC";4673;"haar";3;0;4
"290";67;6;"LOC";4673;"haar";3;-13,4350288425339;4
"291";68;7;"LOC";4673;"haar";3;0;4
"292";69;8;"LOC";4673;"haar";3;0;4
"293";70;9;"LOC";4673;"haar";3;-215,314014871314;4
"294";71;10;"LOC";4673;"haar";3;0;4
"295";72;1;"LOC";4673;"haar";4;-13415,9999999999;3
"296";73;2;"LOC";4673;"haar";4;2525;3
"297";74;3;"LOC";4673;"haar";4;3;3
"298";75;4;"LOC";4673;"haar";4;0;3
"299";76;5;"LOC";4673;"haar";4;-1107,75000000003;3
"300";1;1;"LOC";472388;"haar";1;17618,9796668252;5
"301";2;2;"LOC";472388;"haar";1;2744,28141778498;5
"302";3;3;"LOC";472388;"haar";1;8110,51478020969;5
"303";4;4;"LOC";472388;"haar";1;1999,69797719555;5
"304";5;5;"LOC";472388;"haar";1;8230,72293301139;5
"305";6;6;"LOC";472388;"haar";1;4337,39299579826;5
"306";7;7;"LOC";472388;"haar";1;3919,49288811703;5
"307";8;8;"LOC";472388;"haar";1;6559,82960906759;5
"308";9;9;"LOC";472388;"haar";1;3218,04296117998;5
"309";10;10;"LOC";472388;"haar";1;91476,2829617601;5
"310";11;11;"LOC";472388;"haar";1;2302,33967954339;5
"311";12;12;"LOC";472388;"haar";1;2628,3159056704;5
"312";13;13;"LOC";472388;"haar";1;1369,66583515838;5
"313";14;14;"LOC";472388;"haar";1;4103,34065122553;5
"314";15;15;"LOC";472388;"haar";1;2621,95194463973;5
"315";16;16;"LOC";472388;"haar";1;1952,32182285603;5
"316";17;17;"LOC";472388;"haar";1;7751,30453536694;5
"317";18;18;"LOC";472388;"haar";1;2517,30014102411;5
"318";19;19;"LOC";472388;"haar";1;1236,72976029525;5
"319";20;20;"LOC";472388;"haar";1;140,714249456127;5
"320";21;21;"LOC";472388;"haar";1;0;5
"321";22;22;"LOC";472388;"haar";1;0;5
"322";23;1;"LOC";472388;"haar";2;36586;4
"323";24;2;"LOC";472388;"haar";2;17940;4
"324";25;3;"LOC";472388;"haar";2;15032;4
"325";26;4;"LOC";472388;"haar";2;12703,0000000001;4
"326";27;5;"LOC";472388;"haar";2;74887,9999999999;4
"327";28;6;"LOC";472388;"haar";2;10326,5;4
"328";29;7;"LOC";472388;"haar";2;33578,9999999999;4
"329";30;8;"LOC";472388;"haar";2;10481,5;4
"330";31;9;"LOC";472388;"haar";2;9095;4
"331";32;10;"LOC";472388;"haar";2;5848;4
"332";33;11;"LOC";472388;"haar";2;0;4
"333";34;1;"LOC";472388;"haar";3;54048,4139267749;3
"334";35;2;"LOC";472388;"haar";3;85796,8012952696;3
"335";36;3;"LOC";472388;"haar";3;27330,737753032;3
"336";37;4;"LOC";472388;"haar";3;27319,4240445329;3
"337";38;5;"LOC";472388;"haar";3;4275,87470583513;3
"338";1;1;"LOC";23897;"haar";1;2795,90021281161;5
"339";2;2;"LOC";23897;"haar";1;217,788888605453;5
"340";3;3;"LOC";23897;"haar";1;678,115403157899;5
"341";4;4;"LOC";23897;"haar";1;2029,39646200539;5
"342";5;5;"LOC";23897;"haar";1;5489,97704913236;5
"343";6;6;"LOC";23897;"haar";1;3202,48661199387;5
"344";7;7;"LOC";23897;"haar";1;-1546,44253045498;5
"345";8;8;"LOC";23897;"haar";1;3478,96536343781;5
"346";9;9;"LOC";23897;"haar";1;791,959594928936;5
"347";10;10;"LOC";23897;"haar";1;644,174277660946;5
"348";11;11;"LOC";23897;"haar";1;101,116269709681;5
"349";12;12;"LOC";23897;"haar";1;2,82842712474667;5
"350";13;13;"LOC";23897;"haar";1;87,6812408671321;5
"351";14;14;"LOC";23897;"haar";1;2,82842712474667;5
"352";15;15;"LOC";23897;"haar";1;0;5
"353";16;16;"LOC";23897;"haar";1;934418,983921024;5
"354";17;17;"LOC";23897;"haar";1;916,410388417775;5
"355";18;18;"LOC";23897;"haar";1;-171219,543103292;5
"356";19;19;"LOC";23897;"haar";1;1017,52665812743;5
"357";20;20;"LOC";23897;"haar";1;3424,51814128645;5
"358";21;21;"LOC";23897;"haar";1;946,815980008774;5
"359";22;22;"LOC";23897;"haar";1;102,530483272043;5
"360";23;23;"LOC";23897;"haar";1;62,9325035256043;5
"361";24;24;"LOC";23897;"haar";1;6,36396103067091;5
"362";25;25;"LOC";23897;"haar";1;875,398195108937;5
"363";26;26;"LOC";23897;"haar";1;592,555482634329;5
"364";27;27;"LOC";23897;"haar";1;762,2611101191;5
"365";28;28;"LOC";23897;"haar";1;1117,93582105594;5
"366";29;29;"LOC";23897;"haar";1;1393,0003589375;5
"367";30;30;"LOC";23897;"haar";1;2759,8377669711;5
"368";31;1;"LOC";23897;"haar";2;8917;4
"369";32;2;"LOC";23897;"haar";2;9239,5;4
"370";33;3;"LOC";23897;"haar";2;10135,5;4
"371";34;4;"LOC";23897;"haar";2;7420,49999999999;4
"372";35;5;"LOC";23897;"haar";2;1370,5;4
"373";36;6;"LOC";23897;"haar";2;176,5;4
"374";37;7;"LOC";23897;"haar";2;177;4
"375";38;8;"LOC";23897;"haar";2;660734;4
"376";39;9;"LOC";23897;"haar";2;-269477,5;4
"377";40;10;"LOC";23897;"haar";2;4709,99999999999;4
"378";41;11;"LOC";23897;"haar";2;1448;4
"379";42;12;"LOC";23897;"haar";2;97;4
"380";43;13;"LOC";23897;"haar";2;5177;4
"381";44;14;"LOC";23897;"haar";2;2662,5;4
"382";45;15;"LOC";23897;"haar";2;5745,5;4
"383";46;1;"LOC";23897;"haar";3;25426,852744687;3
"384";47;2;"LOC";23897;"haar";3;14115,972672827;3
"385";48;3;"LOC";23897;"haar";3;416,839447509483;3
"386";49;4;"LOC";23897;"haar";3;393228,091425479;3
"387";50;5;"LOC";23897;"haar";3;9052,38101275018;3
"388";51;6;"LOC";23897;"haar";3;4616,70017436697;3
"389";52;7;"LOC";23897;"haar";3;8419,52044358826;3
"390";53;1;"LOC";23897;"haar";4;6169,25;2
"391";54;2;"LOC";23897;"haar";4;-847484,25;2
"392";55;3;"LOC";23897;"haar";4;23993,5;2
"393";1;1;"LOC";7278;"haar";1;6957,93072687561;7
"394";2;2;"LOC";7278;"haar";1;2149,60461480712;7
"395";3;3;"LOC";7278;"haar";1;2464,9742392163;7
"396";4;4;"LOC";7278;"haar";1;1883,02535829978;7
"397";5;5;"LOC";7278;"haar";1;9337,34504556836;7
"398";6;6;"LOC";7278;"haar";1;33917,7909731751;7
"399";7;7;"LOC";7278;"haar";1;257482,327767364;7
"400";8;8;"LOC";7278;"haar";1;3860,8030252785;7
"401";9;9;"LOC";7278;"haar";1;1033,79011409474;7
"402";10;10;"LOC";7278;"haar";1;-1442,49783362064;7
"403";11;11;"LOC";7278;"haar";1;14170,4198949784;7
"404";12;12;"LOC";7278;"haar";1;7629,68216900283;7
"405";13;13;"LOC";7278;"haar";1;-92,6309883354697;7
"406";14;14;"LOC";7278;"haar";1;9736,15327015764;7
"407";15;15;"LOC";7278;"haar";1;20162,4427587532;7
"408";16;16;"LOC";7278;"haar";1;15342,0958314046;7
"409";17;17;"LOC";7278;"haar";1;19079,8622767567;7
"410";18;18;"LOC";7278;"haar";1;-1968,58527882327;7
"411";19;19;"LOC";7278;"haar";1;19248,8607974602;7
"412";20;20;"LOC";7278;"haar";1;8834,59212414478;7
"413";21;21;"LOC";7278;"haar";1;3498,05724652985;7
"414";22;22;"LOC";7278;"haar";1;10571,9534855201;7
"415";23;23;"LOC";7278;"haar";1;5750,89945139014;7
"416";24;24;"LOC";7278;"haar";1;25878,6939778654;7
"417";25;25;"LOC";7278;"haar";1;30824,9059122652;7
"418";26;26;"LOC";7278;"haar";1;3396,233870039;7
"419";27;27;"LOC";7278;"haar";1;3726,45273685292;7
"420";28;28;"LOC";7278;"haar";1;6095,26045382791;7
"421";29;29;"LOC";7278;"haar";1;6052,83404695685;7
"422";30;30;"LOC";7278;"haar";1;11926,7700782735;7
"423";31;31;"LOC";7278;"haar";1;4557,30320474715;7
"424";32;32;"LOC";7278;"haar";1;12816,3104090062;7
"425";33;33;"LOC";7278;"haar";1;11234,5125394918;7
"426";34;34;"LOC";7278;"haar";1;974,393144475063;7
"427";35;35;"LOC";7278;"haar";1;2621,24483785848;7
"428";36;36;"LOC";7278;"haar";1;-1486,33845405397;7
"429";37;37;"LOC";7278;"haar";1;6814,38805029471;7
"430";38;38;"LOC";7278;"haar";1;-13488,7689579146;7
"431";39;39;"LOC";7278;"haar";1;6472,14836820029;7
"432";40;40;"LOC";7278;"haar";1;1884,43957186211;7
"433";41;41;"LOC";7278;"haar";1;15426,9486451468;7
"434";42;42;"LOC";7278;"haar";1;10228,2995898633;7
"435";43;43;"LOC";7278;"haar";1;5623,62023077649;7
"436";44;44;"LOC";7278;"haar";1;11336,3359159827;7
"437";45;45;"LOC";7278;"haar";1;8612,56059485232;7
