Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Commits;17;5;6;17;6;5;4;2,220446e-16;3,5-1,0-1,0-1,0;1,767767;2,25
Date;Commits;17;5;6;18;6;27;4;NaN;3,5-1,0-1,0-1,0;7,071068;3,5
Date;Commits;17;6;5;17;5;6;4;3,330669e-16; 0,7071068--0,7071068--0,7071068--0,7071068;0,5656854;-1,272792
Date;Commits;17;6;5;18;6;27;4;NaN; 0,7071068--0,7071068--0,7071068--0,7071068;4;0,7071068
Date;Commits;149;6;13;324;3;2;4;2,220446e-15;10,606602- 2,121320--2,121320- 3,535534;2,828427;0,7071068
