;pid;max.revlevel;dead.count;deads
5021;13079;4;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
5165;13079;4;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6341;13079;3;12;3085|4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6621;13079;4;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
6789;13079;4;13;3085|4007|4614|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
7239;13079;4;8;3085|4007|4614|12053|12547|41745|155830|317799
7653;13079;5;10;3085|4614|11389|12053|41745|155830|322065|307140|325178|360279
7698;13079;5;10;3085|4614|11389|12053|41745|155830|322065|307140|325178|360279
8086;13079;5;7;3085|4614|12053|12547|41745|155830|317799
8729;13079;3;11;4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
8730;13079;4;11;4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9086;13079;4;11;4007|11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
9150;13079;4;7;4007|4614|12053|12547|41745|155830|317799
9322;13079;4;6;4614|12053|12547|41745|155830|317799
9429;13079;4;6;4614|12053|12547|41745|155830|317799
9504;13079;5;6;4614|12053|12547|41745|155830|317799
9520;13079;5;6;4614|12053|12547|41745|155830|317799
9521;13079;5;6;4614|12053|12547|41745|155830|317799
9531;13079;5;6;4614|12053|12547|41745|155830|317799
9686;13079;4;6;4614|12053|12547|41745|155830|317799
9759;13079;5;6;4614|12053|12547|41745|155830|317799
9775;13079;5;6;4614|12053|12547|41745|155830|317799
9776;13079;5;6;4614|12053|12547|41745|155830|317799
9786;13079;5;6;4614|12053|12547|41745|155830|317799
9855;13079;6;3;4614|12053|317799
9862;13079;6;2;4614|12053
9867;13079;6;2;4614|12053
10337;13079;4;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10697;13079;4;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10817;13079;4;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
10993;13079;5;8;11389|12053|41745|155830|322065|307140|325178|360279
11013;13079;5;8;11389|12053|41745|155830|322065|307140|325178|360279
11128;13079;5;10;11389|12053|12547|15700|41745|155830|322065|307140|325178|360279
11167;13079;5;8;11389|12053|41745|155830|322065|307140|325178|360279
11168;13079;5;8;11389|12053|41745|155830|322065|307140|325178|360279
