Time col;DWT_var;Variable;pid0;pid0 revlevel;pid0 startseq;length;Max. deviation;occurrances;Project count;Project list;seq;Project id-ss-rl;HasDead;HasAlive;HasMixed;Seq Id
Age.Months;V;Active.Developers;4740;6;3;4;NaN;11;12;4740|5730|528850|625|232|4445|5561|11187|16025|16527|25972|408980;2,121320-1,414214-2,121320-4,242641;5730-5-12|528850-4-4|625-6-26|232-6-1|4445-5-9|5561-6-10|11187-6-18|16025-5-6|16527-6-16|25972-6-26|408980-6-7;0;1;FALSE;11
Age.Months;V;Active.Developers;4740;6;15;4;1,698641e-14;35;34;4740|551576|175|585079|51|3927|3352|3430|3592|5732|5999|6559|8615|8687|8765|9673|10782|11082|12678|13044|15309|15549|16329|23964|27049|28868|43572|46139|48544|81033|132068|139581|339052|149338;4,242641-5,656854-2,828427-2,828427;551576-3-1|175-6-40|585079-5-20|51-5-18|51-6-59|3927-6-6|3352-6-28|3430-6-35|3592-6-19|5732-5-1|5999-5-24|6559-6-10|8615-5-21|8687-5-24|8765-6-7|9673-5-2|9673-5-10|10782-5-23|11082-6-32|12678-5-9|13044-6-16|15309-5-19|15549-6-39|16329-6-14|23964-6-28|27049-6-19|28868-6-21|43572-5-18|46139-6-20|48544-3-3|81033-5-11|132068-4-5|139581-6-22|339052-4-7|149338-6-12;0;1;FALSE;12
Age.Months;V;Active.Developers;4740;6;24;4;2,88658e-15;33;29;4740|584795|585079|586397|360|76|1895|4007|4021|4590|5732|5999|6491|8630|8765|9673|11082|12678|13939|16329|16423|28127|10372|35799|132021|347925|350866|371810|408980;4,949747-5,656854-6,363961-4,949747;584795-5-2|585079-6-41|586397-4-7|360-6-28|76-4-7|1895-6-20|4007-6-23|4021-5-20|4021-6-1|4590-6-17|5732-6-24|5999-6-47|6491-6-21|8630-6-4|8630-6-8|8765-6-6|9673-5-9|11082-6-31|11082-6-38|12678-6-19|13939-5-12|16329-6-28|16423-7-59|28127-6-43|10372-5-16|35799-6-17|132021-6-34|347925-3-2|347925-4-6|350866-4-5|371810-6-22|371810-6-31|408980-5-18;1;1;TRUE;13
Age.Months;V;Active.Developers;4740;6;15;5;1,287859e-14;10;10;4740|585079|3927|6559|9673|10782|11082|13044|16329|48544;4,242641-5,656854-2,828427-2,828427-2,828427;585079-5-20|3927-6-6|6559-6-10|9673-5-2|9673-5-10|10782-5-23|11082-6-32|13044-6-16|16329-6-14|48544-3-3;0;1;FALSE;14
Age.Months;V;Active.Developers;4740;6;13;4;Inf;5;6;4740|155|232|4021|8891|139581;6,363961-3,535534-4,242641-5,656854;155-6-19|232-6-18|4021-5-17|8891-6-17|139581-6-18;0;1;FALSE;15
Age.Months;V;Active.Developers;4740;6;14;4;2,38698e-14;7;8;4740|155|3430|4059|11082|12053|16423|292974;3,535534-4,242641-5,656854-2,828427;155-6-33|3430-6-27|4059-6-33|11082-6-11|12053-6-10|16423-7-20|292974-6-12;1;1;TRUE;16
Age.Months;V;Active.Developers;4740;6;12;4;1,776357e-15;4;5;4740|475|3927|4359|4875;3,535534-6,363961-3,535534-4,242641;475-6-12|3927-6-40|4359-6-21|4875-5-8;0;1;FALSE;17
Age.Months;V;Active.Developers;4740;6;21;4;Inf;7;8;4740|1895|5999|8630|8765|12053|35799|339052;5,656854-3,535534-6,363961-4,949747;1895-6-8|5999-6-20|8630-6-27|8765-4-3|12053-6-30|35799-6-8|339052-4-4;1;1;TRUE;18
Age.Months;V;Active.Developers;4740;6;6;5;6,883383e-15;6;7;4740|5147|9630|14886|15700|28127|139581;4,242641-5,656854-3,535534-3,535534-3,535534;5147-6-18|9630-6-14|14886-6-13|15700-6-8|28127-6-36|139581-6-8;1;1;TRUE;19
Age.Months;V;Active.Developers;4740;6;7;5;5,329071e-15;4;4;4740|8713|14886|28127;5,656854-3,535534-3,535534-3,535534-2,828427;8713-6-9|8713-6-21|14886-6-14|28127-6-37;0;1;FALSE;20
Age.Months;V;Active.Developers;3429;5;15;4;NaN;19;18;3429|584795|585079|5455|51|767|4021|6491|10022|16025|16055|16423|25676|30763|309336|342423|349024|408980;11,0-10,5-12,0-11,5;584795-5-22|585079-6-36|5455-6-29|51-6-53|767-6-24|767-7-18|4021-6-18|6491-6-23|10022-5-9|16025-6-29|16055-3-2|16423-7-32|25676-6-10|30763-5-13|309336-5-13|342423-5-16|349024-5-2|408980-6-19|408980-6-34;0;1;FALSE;21
Age.Months;V;Active.Developers;3429;5;1;4;Inf;8;9;3429|585079|360|4021|5385|8576|11261|14564|40548; 9,5- 7,5-10,5-11,5;585079-6-31|360-6-5|4021-5-13|5385-5-13|8576-6-43|11261-6-4|14564-6-37|40548-5-20;0;1;FALSE;22
Age.Months;V;Active.Developers;3429;5;5;4;1,731948e-14;16;17;3429|5455|433|232|3187|4325|4733|4867|5999|6559|8687|8765|12053|16423|25676|27332|339127;16,5-17,0-15,5-15,5;5455-6-17|433-6-34|232-6-30|3187-5-7|4325-6-45|4733-6-21|4867-6-20|5999-5-27|6559-4-7|8687-5-27|8765-5-3|12053-6-25|16423-7-56|25676-6-14|27332-6-19|339127-4-1;1;1;TRUE;23
Age.Months;V;Active.Developers;3429;6;6;4;4,662937e-15;15;15;3429|585079|625|51|4021|4445|6368|16423|20605|25037|29531|34455|89461|348235|408980;7,071068-7,778175-7,071068-9,192388;3429-6-31|585079-6-35|625-6-1|51-6-52|4021-6-17|4445-6-12|6368-6-25|16423-7-51|20605-4-7|25037-4-1|29531-5-7|34455-5-5|89461-5-9|348235-6-11|408980-6-18;0;1;FALSE;24
Age.Months;V;Active.Developers;3429;6;12;4;7,91589e-14;30;28;3429|584098|551576|585079|5455|232|3927|767|5147|6869|8576|8630|8765|9646|10022|12678|13044|13079|14886|17088|21585|34455|40548|41745|345897|89864|132068|264758;12,72792-11,31371-11,31371-10,60660;3429-6-45|584098-3-1|551576-3-2|585079-6-2|5455-6-8|232-6-43|3927-6-16|767-6-16|5147-6-14|6869-6-17|8576-5-11|8630-5-1|8765-6-8|8765-6-49|9646-6-16|10022-6-17|12678-5-10|13044-6-23|13079-5-13|14886-6-17|17088-6-29|21585-6-13|34455-5-8|40548-6-39|41745-5-6|345897-5-23|89864-5-25|132068-4-2|132068-4-6|264758-4-6;1;1;TRUE;25
Age.Months;V;Active.Developers;3429;6;22;4;3,996803e-15;16;15;3429|4031|585079|3584|3923|6559|7329|9673|13044|13079|16423|34455|26811|139581|348235;7,071068-9,192388-7,778175-8,485281;3429-6-33|4031-5-10|585079-6-25|585079-6-51|3584-6-27|3923-6-16|6559-4-5|7329-6-1|9673-3-2|13044-5-15|13079-6-15|16423-7-53|34455-5-11|26811-4-4|139581-4-5|348235-5-2;0;1;FALSE;26
Age.Months;V;Active.Developers;3429;6;30;4;2,220446e-15;34;31;3429|589515|4031|585079|76|51|3085|3923|4733|4875|5385|8713|10822|11082|11261|12678|15403|15549|15700|16329|17088|18515|25676|28127|34455|37487|46139|50140|89461|132021|350740;8,485281-7,071068-7,778175-7,071068;3429-6-34|589515-4-1|4031-5-17|585079-6-16|585079-6-54|76-5-11|51-6-46|3085-6-19|3923-6-17|3923-6-25|4733-6-30|4875-6-28|5385-6-15|8713-6-36|10822-5-13|11082-5-8|11261-6-1|12678-6-21|15403-5-16|15549-6-1|15700-4-4|16329-6-11|17088-6-34|18515-4-4|25676-5-9|28127-6-45|34455-6-19|37487-5-3|46139-5-15|50140-5-26|89461-6-33|132021-5-13|132021-6-36|350740-5-17;1;1;TRUE;27
