;pid;max.revlevel;dead.count;deads;year.contributors;year.commits;month.contributors;month.commits;year.contributors.change;year.commits.change;comments
64;3187;6;1;3085;2;539;2;32;0;0,25;
289;3352;5;5;3085|12053|41745|307140|325178;0;0;0;0;-1;-1;
295;3430;6;1;3085;2;9;0;0;-0,33;0,12;
15;3923;5;4;3085|4614|15700|325178;2;183;2;9;0;-0,27;
77;4021;5;3;3085|12547|325178;2;3;0;0;-0,33;-0,88;
1;4031;5;3;589515|3085|15700;28;1690;8;97;4,19;-0,15;
16;4137;6;4;3085|4614|15700|325178;2;151;0;0;-0,5;-0,1;
69;4325;5;5;3085|12547|15700|322065|325178;6;15;0;0;0;-0,66;
9;4411;6;5;3085|155830|322065|307140|325178;4;4;0;0;0,33;-0,84;
17;4590;4;4;3085|4614|15700|325178;3;22;0;0;0,5;-0,29;
83;5002;5;2;3085|41745;1;51;0;0;-0,5;0,34;
59;6368;6;8;3085|12547|15700|41745|155830|322065|307140|325178;1;175;0;0;-0,5;-0,65;
20;6491;6;4;3085|4614|15700|325178|41745|155830;1;592;1;23;0;0,94;
283;7329;5;1;3085;2;185;1;1;0;1,76;
5;8258;6;3;587571|15700|155830;3;16;0;0;0;0,56;
78;8391;4;3;3085|12547|325178;1;65;1;5;-0,66;-0,1;
33;8576;5;4;3085|41745|155830|325178;4;9;1;1;0,33;-0,5;
60;8615;5;8;3085|12547|15700|41745|155830|322065|307140|325178;4;371;3;65;0,33;-0,07;
21;8713;5;4;3085|4614|15700|325178;4;183;2;68;-0,33;-0,49;
304;8891;5;3;3085|155830|325178;4;112;2;8;0,33;0,93;
288;9646;6;2;3085|12053;6;10;1;1;0;-0,52;
297;9673;3;1;3085;1;88;2;56;-0,66;-0,13;
66;10372;6;1;3085;27;2146;16;210;-0,03;-0,04;
61;10822;6;8;3085|12547|15700|41745|155830|322065|307140|325178;3;24;1;3;2;3;
10;11261;5;5;3085|155830|322065|307140|325178;2;78;2;12;0;-0,39;
316;12678;5;2;11389|155830;0;0;0;0;-1;-1;
62;13044;5;8;3085|12547|15700|41745|155830|322065|307140|325178;1;4;0;0;-0,66;-0,85;
130;13939;3;4;12547|15700|41745|155830;54;914;7;118;-0,08;0,21;
91;14564;4;2;4007|12053;2;4;0;0;-0,33;-0,5;
306;15309;5;3;3085|155830|325178;3;28;1;5;-0,25;0,12;
312;15403;4;2;4614|12053;2;8;1;3;-0,33;-0,86;
131;15707;6;4;12547|15700|41745|155830;1;2;0;0;0;-0,5;
63;16234;5;8;3085|12547|15700|41745|155830|322065|307140|325178;3;45;2;4;-0,4;-0,28;
116;16423;7;1;12053;3;67;1;2;0;-0,67;
286;16527;3;2;3085|307140;1;3;0;0;-0,75;-0,5;
150;17088;6;3;12547|307140|325178;4;1075;4;323;0,33;2,28;
50;19983;6;4;3085|4614|15700|325178;2;50;2;4;0;-0,33;
346;20605;4;3;15700|322065|325178;8;163;4;41;1;-0,3;
157;22716;5;1;15700;2;10;0;0;0;-0,52;
343;23964;4;2;15700|325178;0;0;0;0;-1;-1;
23;26779;4;4;3085|4614|15700|325178;0;0;0;0;-1;-1;
111;27332;6;2;11389|12053;4;218;3;43;0;0,22;
35;27656;6;4;3085|41745|155830|325178;1;49;0;0;-66;0,25;
347;28127;6;3;15700|322065|325178;2;1634;2;103;-0,33;2,56;
133;28868;5;4;12547|15700|41745|155830;2;741;2;28;0;-0,31;
152;29531;6;3;12547|307140|325178;2;11;2;3;0;0,57;
320;30763;4;4;3085|41745|155830|325178;1;13;0;0;-0,5;0;
348;34435;5;1;15700;11;1326;4;129;0,37;0,39;
70;35799;6;5;3085|12547|15700|322065|325178;1;37;1;11;-0,5;0,15;
153;40548;6;3;12547|307140|325178;5;462;3;31;1,5;0,5;
24;46139;6;4;3085|4614|15700|41745|155830|325178;3;23;0;0;0;-0,94;
11;48544;4;5;3085|155830|322065|307140|325178;1;3;0;0;0;-0,57;
3;50140;5;3;589515|3085|15700;2;16;1;1;-0,5;-0,75;
6;60399;3;3;587571|15700|155830;1;9;0;0;0;3,5;
344;71024;4;2;15700|325178;0;0;0;0;-1;-1;
290;84878;4;5;3085|12053|41745|307140|325178;2;7;0;0;0;-0,41;
38;89864;5;4;3085|41745|155830|325178;1;34;0;0;-0,5;-0,83;
291;116294;4;5;3085|12053|41745|307140|325178;2;69;1;1;-0,33;-0,5;
93;117623;4;2;4007|12053|12547;13;857;5;85;-0,45;0;
292;132021;6;5;3085|12053|41745|307140|325178;3;161;1;6;0,5;1,4;
14;132068;3;1;3085;4;49;0;0;0,33;6;
135;139581;5;4;12547|15700|41745|155830;7;1586;4;141;1,33;0,19;
